alias,symbol
14q(II-28),SNORD114-28
14q(II-29),SNORD114-29
14q(II-3),SNORD114-3
14q(II-30),SNORD114-30
14q(II-31),SNORD114-31
14q(II-4),SNORD114-4
14q(II-5),SNORD114-5
14q(II-6),SNORD114-6
14q(II-7),SNORD114-7
14q(II-8),SNORD114-8
14q(II-9),SNORD114-9
15-LOX,ALOX15
15-LOX-1,ALOX15
15-LOX-2,ALOX15B
15-PGDH,HPGD
15.212,KIR2DL4
15.5K,SNU13
150-225,TNC
1500003D12Rik,MED28
156DAG,DAG1
15E1.2,GATC
16.1,IGLL3P
16.2,IGLL2P
16.3A5,CD59
160-KD,SRRM1
1600019D15Rik,TMEM33
16A,ATP6AP1
16E1BP,TRIP13
16G2,FETUB
16S,MT-RNR2
17-1A,EPCAM
17-beta-HSD,HSD17B1
17-BETA-HSD11,HSD17B11
17-BETA-HSDXI,HSD17B11
1700010H15RiK,DNAL1
1700024P04Rik,H2BL1P
1700027G07Rik,FHL5
1700028P05Rik,IQCE
1700062D20Rik,VSIG1
170A,SKIC2
17b-HSD10,HSD17B10
17BHSD11,HSD17B11
17orf28,HID1
1810012E07Rik,SEC11A
1810061I13Rik,CLEC1B
182-FIP,NUFIP2
183ActI,KIR2DS2
18A2,S100A4
19A,SLAMF7
1A,GDI1
1A1,SLC45A2
1A1-3B,NBR1
1A6/DRIM,UTP20
1AGPAT5,AGPAT5
1AGPAT8,LCLAT1
1C5,YWHAQ
1C7,NCR3
1C9-2,TOMM22
1D,LMOD1
1F5,CD59
1G5,CAMKV
1R20,RGS1
2'-PDE,PDE12
2-10P,IGHV2-10
2-19,FAM3A
2-21,FAM3B
2-5-3p,EXOC7
2-ALPHA-HSD,AKR1C1
2-COP,COPG2
2-HPCL,HACL1
2-MEBCAD,ACADSB
2-OST,HS2ST1
2-PDE,PDE12
2.19,FAM3A
20-ALPHA-HSD,AKR1C1
20-alpha-HSD,HSD17B1
2010001O09Rik,OMA1
2010002K04Rik,PCGF1
2010204O13Rik,TTC19
209L8,HACL2
20D7-FC4,FBXO46
20MER1,LOC107198088
20MER2,LOC107198089
21-GARP,SH3BGR
214K23.2,FRY
21orf5,DOP1B
2210413P10Rik,VSIG2
225,EGR1
2310005P21Rik,C1QTNF3
2310020H20Rik,ISCU
2310047C21Rik,ITFG1
2310047H23Rik,TXNDC15
2310061C15Rik,CMC2
239AB,MPPED1
239FB,MPPED2
2410002I16Rik,CXXC1
2410004I17Rik,ESCO2
2410091M23Rik,DPPA4
24b2,STAC2
24b2/STAC2,STAC2
24p3,LCN2
24p3R,SLC22A17
2510025F08Rik,MIS12
2610017G09Rik,ADPGK
2610020J05Rik,PUS3
2610028I09Rik,RIBC1
2610509L04Rik,EIF4ENIF1
2610510D13Rik,HNRNPA3
26RFa,QRFP
2700063A19Rik,TSPAN15
2700066J21Rik,UTP14C
277P12.9,LINC02598
27K,SNRNP27
2810028N01Rik,DIS3
2810403B08Rik,CEP97
2810435D12Rik,HDHD3
28H,HMGN2P11
2900010K02Rik,TMEM41A
2A-DUB,MYSM1
2A9,S100A6
2ADUB,MYSM1
2B28,UBXN1
2B4,CD244
2BP1,RBFOX1
2C18,AP1AR
2C4D,MOB4
2DD,DHDH
2E4,KPTN
2F1,KLRG1
2F1,SLC25A5
2G7,LINC01150
2H9,HNRNPH3
2HOR0202,SAP18
2OST,UST
2P1,NDUFAF3
2PP2A,SET
3'-Tab1,TAB1
3'aHIF-1A,HIF1A-AS2
3'HEXO,ERI1
3'HS1,HBB-3'HS1
3'OY11.1,ZNF280A
3-02.1P,IGHVIII-2-1
3-05.1P,IGHVIII-5-1
3-05.2P,IGHVIII-5-2
3-06P,IGHV3-6
3-10C,CXCL8
3-11.1P,IGHVIII-11-1
3-13.1P,IGHVIII-13-1
3-16.1P,IGHVIII-16-1
3-19P,IGHV3-19
3-22.2P,IGHVIII-22-2
3-22P,IGHV3-22
3-25.1P,IGHVIII-25-1
3-25P,IGHV3-25
3-26.1P,IGHVIII-26-1
3-29P,IGHV3-29
3-30.2P,IGHV3-30-2
3-32P,IGHV3-32
3-33.2P,IGHV3-33-2
3-36P,IGHV3-36
3-37P,IGHV3-37
3-38.1P,IGHVIII-38-1
3-41P,IGHV3-41
3-42P,IGHV3-42
3-44P,IGHVIII-44
3-47.1P,IGHVIII-47-1
3-47P,IGHV3-47
3-50P,IGHV3-50
3-51.1P,IGHV8-51-1
3-52P,IGHV3-52
3-54P,IGHV3-54
3-57P,IGHV3-57
3-60P,IGHV3-60
3-62P,IGHV3-62
3-65P,IGHV3-65
3-67.2P,IGHVIII-67-2
3-67.3P,IGHVIII-67-3
3-67.4P,IGHVIII-67-4
3-71P,IGHV3-71
3-75P,IGHV3-75
3-76.1P,IGHVIII-76-1
3-76P,IGHV3-76
3-79P,IGHV3-79
3-82P,IGHVIII-82
3-alpha-HSD,AKR1C4
3-alpha-HSD,DHRS9
3-GalNAc-T1,B3GALNT1
3-GalTase,B3GALNT1
3-Gn-T1,B3GNT2
3-Gn-T2,B3GNT2
3-Gn-T8,QTGAL
3-HAO,HAAO
3-OST-3A,HS3ST3A1
3-OST-3B,HS3ST3B1
3-OST-4,HS3ST4
3-OST-5,HS3ST5
3-OST-6,HS3ST6
3-PAP,MTMR12
3-PGDH,PHGDH
3.8-1,HCG26
3.8-1.2,LOC353007
3.8-1.3,LOC353008
3.8-1.4,LOC353009
3.8-1.5,LOC353010
300-KD,SRRM2
30K,CAPNS1
30ST2,HS3ST2
30ST3A1,HS3ST3A1
30ST3B1,HS3ST3B1
30ST4,HS3ST4
3110004H13Rik,MED31
3110013H01Rik,CENPV
3110052N05Rik,HDHD2
323/A3,EPCAM
354J5,ZPR1P1
35DAG,SGCD
35DAG,SGCG
3635,PDE12
363E6.2,GDE1
37LRP,RPSA
37LRP,RPSA2
38-1,IGHVIII-38-1
384D8-2,NCAPH2
39.1,KRT17
39K2,STAU2
39K3,STAU2
3ALPHA-HSD,DHRS9
3BETAHSD,HSD3B1
3BP-2,SH3BP2
3BP2,SH3BP2
3D3,MTDH
3DL2,KIR3DL2
3G2,RBM6
3H11Ag,CEP290
3KS,NCAPG2
3M1,CUL7
3M3,CCDC8
3MC1,MASP1
3MC2,COLEC11
3MC3,COLEC10
3o5bred,AKR1D1
3OST,HS3ST1
3OST1,HS3ST1
3OST2,HS3ST2
3OST3A1,HS3ST3A1
3OST3B1,HS3ST3B1
3OST4,HS3ST4
3OST5,HS3ST5
3OST6,HS3ST6
3PAP,MTMR12
3PGDH,PHGDH
3PK,MAPKAPK3
4-01.1P,IGHVII-1-1
4-15.1P,IGHVII-15-1
4-1BB,TNFRSF9
4-1BB-L,TNFSF9
4-1BBL,TNFSF9
4-1BBLRR,LRR1
4-20.1P,IGHVII-20-1
4-22.1P,IGHVII-22-1
4-26.2P,IGHVII-26-2
4-28.1P,IGHVII-28-1
4-30.1P,IGHVII-30-1
4-31.1P,IGHVII-31-1
4-33.1P,IGHVII-33-1
4-40.1P,IGHVII-40-1
4-43.1P,IGHVII-43-1
4-44.1P,IGHVIV-44-1
4-44.2P,IGHVII-44-2
4-46.1P,IGHVII-46-1
4-49.1P,IGHVII-49-1
4-51.2P,IGHVII-51-2
4-53.1P,IGHVII-53-1
4-55P,IGHV4-55
4-60.1P,IGHVII-60-1
4-62.1P,IGHVII-62-1
4-65.1P,IGHVII-65-1
4-67.1P,IGHVII-67-1
4-74.1P,IGHVII-74-1
4-78.1P,IGHVII-78-1
4-80P,IGHV4-80
4-HPPD,HPD
4-HPPD-L,HPDL
4.1-G,EPB41L2
4.1B,EPB41L3
4.1G,EPB41L2
4.1N,EPB41L1
4.1O,FRMD3
4.1R,EPB41
40K,SNRNP40
42A,S100A4
42C,S100A10
447AA,COL16A1
44M2.4,DCUN1D3
464.2,CCL3L1
464.2,CCL3L3
47.11,KIR2DL1
4732463G12Rik,TRIM65
4832404P21Rik,ZSWIM8
4833431A01Rik,THAP1
4930465P12Rik,DRC11
4930513O09RIK,ZCCHC13
4930573H17Rik,YEATS4
4930578C19Rik,DIPK2B
4933409D10Rik,ZNF474
4933414E04Rik,NSUN6
4933421L13Rik,ZDHHC20
4933425L19Rik,ZRANB3
4933433C09Rik,DRC10
4E-BP1,EIF4EBP1
4E-BP3,EIF4EBP3
4E-LP,EIF4E2
4E-T,EIF4ENIF1
4EBP1,EIF4EBP1
4EBP2,EIF4EBP2
4EBP3,EIF4EBP3
4EHP,EIF4E2
4F-se4[6:7:8],CYP4F29P
4F-se9[6:7:8],CYP4F30P
4F2,SLC3A2
4F2HC,SLC3A2
4F2LC,SLC7A5
4F5,SERF1A
4F5REL,SERF2
4F9,CD82
4HPPD,HPD
4Ig-B7-H3,CD276
4P11,CRYZL1
4SPAN1,MS4A4A
4SPAN2,MS4A7
4SPAN3,MS4A6A
4SPAN3.2,MS4A6A
4SPAN4,MS4A8
4T2HC,SLC3A2
5'-NT,ACP3
5'aHIF-1A,HIF1A-AS1
5'aHIF1alpha,HIF1A-AS1
5'OY11.1,ZNF280B
5'URS,LOC107080646
5-78P,IGHV5-78
5-HT(2B),HTR2B
5-HT-1A,HTR1A
5-HT-1B,HTR1B
5-HT-1D-beta,HTR1B
5-HT-1F,HTR1F
5-HT-2B,HTR2B
5-HT-3,HTR3A
5-HT1A,HTR1A
5-HT1B,HTR1B
5-HT1C,HTR2C
5-HT1D,HTR1D
5-HT1DB,HTR1B
5-HT1E,HTR1E
5-HT1F,HTR1F
5-HT2A,HTR2A
5-HT2B,HTR2B
5-HT2C,HTR2C
5-HT3-E,HTR3E
5-HT3A,HTR3A
5-HT3B,HTR3B
5-HT3c1,HTR3E
5-HT3C2,HTR3C2P
5-HT3E,HTR3E
5-HT3R,HTR3A
5-HT4,HTR4
5-HT4R,HTR4
5-HT5A,HTR5A
5-HT5B,HTR5BP
5-HT6,HTR6
5-HT6R,HTR6
5-HT7,HTR7
5-HTR2C,HTR2C
5-HTT,SLC6A4
5-HTTLPR,SLC6A4
5-LO,ALOX5
5-LOX,ALOX5
5-Opase,OPLAH
50DAG,SGCA
51A,SORL1-AS1
52,SCARNA10
53BP1,TP53BP1
53BP2,TP53BP2
54TM,YIF1A
551G9.2,GSPT1
5630401D24Rik,METTL13
5730408C10Rik,RNF167
5730547N13Rik,OIP5
5830420C16Rik,CXXC1
59-DAP,SNTB1
59K,PDCD7
5A3,FAM210B
5B10,S100A6
5c5-2,MRPL12
5DI,DIO1
5DII,DIO2
5DIII,DIO3
5F7,BSG
5HT1a,HTR1A
5HT3D,HTR3D
5HT3R,HTR3A
5HT6,HTR1F
5HTR2C,HTR2C
5HTT,SLC6A4
5HTT-VNTR2,STIN2-VNTR
5HTTVNTR,STIN2-VNTR
5LPG,ALOX5
5MP1,BZW2
5MP2,BZW1
5PTASE,INPP5A
5PTase,INPP5B
5qNCA,KDM3B
5T4,TPBG
5T4-AG,TPBG
5T4AG,TPBG
6-16,IFI6
6.3,PLXNA3
6.8PL,ATP5MJ
6030440G05Rik,FRMD4B
60B8AG,S100A8
60B8AG,S100A9
60H,HMGN2P12
61E3.4,NPIPB4
61E3.4,SMG1
6330408P19Rik,NOS1AP
6330578E17Rik,COA5
6430402L03Rik,RTL5
64kD,LMOD1
6530402N02Rik,APH1A
6530404F10Rik,KCTD18
6530406P05Rik,GPR165P
65K,USP39
67LR,RPSA
67LR,RPSA2
6A1,SLC39A2
6A3-5,ARID1B
6C6-AG,BCAP31
6Ckine,CCL21
6M1-1,OR2B3
6M1-16,OR2H1
6M1-18,OR11A1
6M1-21,OR5V1
6M1-3,OR2J3
6M1-4P,OR2J1
6M1-7P,OR2H4P
6orf55,VTA1
6PGD,PGD
6PGL,PGLS
6S2650E,HCP5
7-27P,IGHV7-27
7-34.1P,IGHV7-34-1
7-40P,IGHV7-40
7-56P,IGHV7-56
7-60,OGFR
71-7A,OFD1
71-7A2,OFD1P18Y
71-7A3,OFD1P17
71-7A5,OFD1P17
721P,AKAP17A
753P9,SASH3
76P,TUBGCP4
7A5,MACC1
7B2,SCG5
7B4,CDH5
7h3,SYDE1
7L1a,RN7SL1
7L1C,RN7SL2
7L23,RN7SL7P
7L28,RN7SL4P
7L30.1,RN7SL2
7L30.2,RN7SL3
7L63,RN7SL8P
7L7,RN7SL6P
7LEM1,RN7SL5P
7M1-2,OR2F1
7SK,RN7SK
7SL,RN7SL1
7SL1c,RN7SL2
7TMR,ACKR5
80K-H,PRKCSH
80K-L,MARCKS
82-FIP,NUFIP2
821D11.7,SREBF2-AS1
8430410J10Rik,ALPK1
87U6,GNAI3
87U6,RNU6V
8B,SYNE1
8D6,CD320
8D6A,CD320
8HS20,VPREB3
9-27,IFITM1
90K,LGALS3BP
9130403P13Rik,MANSC1
921-L,CPLX2
92M18.3,N4BP2L2
9630046K23Rik,POGLUT1
9830169G11Rik,ELMOD2
99D8.1,CCT2
9cRDH,RDH5
9F,FAM50A
9G8,SLU7
9G8,SRSF7
A-116A10.1,NAE1
A-152E5.1,CCL22
A-152E5.3,CCL17
A-2,GPR162
A-259H10.2,HPR
A-270G1.2,RRN3
A-328A3.2,KIF22
A-388D4.1,SNX29
A-575C2.4,NPIPB7
A-761H5.2,CDC37P1
A-761H5.4,NPIPB15
A-761H5.5,NPIPB7
A-923A4.1,ACSM2A
A-BETA,SUCLA2
A-C1,PLAAT1
A-FABP,FABP4
A-gamma-e,A-GAMMA3'E
A-LAP,ERAP1
A-MYB,MYBL1
A-RAF,ARAF
A-ROD,LNCAROD
A-SCID,DCLRE1C
A-SCS,SUCLA2
a1,ATP6V0A1
A1,IGKV2D-30
A1,RFC1
A1,RFC2
A1,RFC4
A1-5,ZNF2
a1/3GTP,GGTA1
A10,IGKV6D-21
A11,IGKV3D-20
A11a,IGKV3D-20
A12,IGKV2D-19
A12.2,POLR1H
A121,EIF1
A13,IGKV2D-18
A135,POLR1B
A14,IGKV6D-41
A14GALT,A4GALT
A15,IGKV1-32
A15,TSPAN7
A15a,IGKV1-32
A16,IGKV3-31
A16a,IGKV3-31
A17,IGKV2-30
A170,SQSTM1
A18,IGKV2-29
A18b,IGKV2-29
A19,IGKV2-28
A190,POLR1A
A1A,SERPINA1
A1AG1,ORM1
A1AT,SERPINA1
A1B,A1BG
A1B,SNTB1
A1BG-AS,A1BG-AS1
A1BGAS,A1BG-AS1
A1M,AMBP
A1S9,UBA1
A1S9T,UBA1
A1ST,UBA1
A1U,UBQLN4
A1Up,UBQLN4
A2,ATP6V0A2
A2,CFAP410
A2,GPHA2
A2,SGCA
A20,IGKV1-27
A20,TNFAIP3
A21,IGKV2-26
A211C6.1,LYRM1
A214N16.3,PRUNE2
A22,IGKV3-25
A23,IGKV2-24
A24,IGKV2-23
A25,IGKV1-22
A26,IGKV6-21
A26A1,POTEA
A26B1,POTEB
A26B2,POTEC
A26B3,LOC100288966
A26B3,POTED
A26C1,POTEE
A26C1A,POTEE
A26C1B,POTEF
A26C2,POTEG
A26C3,POTEH
A27,IGKV3-20
A28,IGKV2-19
A28-RGS14,RGS16
A28-RGS14P,RGS16
A29,IGKV2-18
A2a,IGKV2D-29
A2AP,SERPINF2
A2aR,ADORA2A
A2BP1,RBFOX1
A2c,IGKV2D-29
A2D,ATXN2L
A2HS,AHSG
A2LD1,GGACT
A2LG,ATXN2L
A2LP,ATXN2L
A2M,IGHA2
A2MD,A2M
A2MP,A2MP1
A2MR,LRP1
A2MRAP,LRPAP1
A2RAP,LRPAP1
A2RP,ATXN2L
a2V,ATP6V0A2
A3,IGKV2D-28
a3,TCIRG1
A30,IGKV1-17
A33,GPA33
A34.5,POLR1G
A3A,APOBEC3A
A3A,APOBEC3A_B
A3a,DAG1
A3AR,ADORA3
A3B,APOBEC3B
A3b,SGCB
A3C,APOBEC3C
A3D,APOBEC3D
A3DE,APOBEC3D
A3F,APOBEC3F
A3G,APOBEC3G
A3GALNT,ABO
A3GALNT,GBGT1
A3GALT1,ABO
A3GALT2P,A3GALT2
A3H,APOBEC3H
A4,ATP6V0A4
A4,IGKV1D-27
A4,PLP2
A4,SGCG
A4-LSB,PLP2
A43,POLR1F
A49,POLR1E
A4a,IGKV1D-27
A4GALT1,A4GALT
A4LSB,PLP2
A5,IGKV2D-26
A530083I02Rik,NBEAL1
A6,IGKV3D-25
A6,TWF1
A6L,MT-ATP8
A6ps1,TWF1P1
A6ps2,TWF1P2
A6r,TWF2
A6RP,TWF2
A7,IGKV2D-24
A7322,ARFGEF3
A8,IGKV2D-23
A8,SEMA4D
A8-51,ZNF3
A9,IGKV1D-22
A930014I12Rik,ESCO1
AA,TEAD1
AA02,AA06
AA04,AA06
AA05,AA06
AAA,AAA1
AAA,AAAS
AAA,APP
AAA-TOB3,ATAD3B
AAA1,NPSR1-AS1
AAAL3045,CLPSL2
AAASb,AAAS
AAAT,SLC1A5
AAAT,SLC1A7
AAC-11,API5
AAC1,NAT1
AAC1,SLC25A4
AAC11,API5
AAC2,NAT2
AAC2,SLC25A5
AAC3,SLC25A6
AAC4,SLC25A31
AACP,NATP
AACSL,AACSP1
AACT,SERPINA3
AAD10,KMT2D
AAD20,GLS
AADACL1,NCEH1
AADC,DDC
AAED1,PRXL2C
AAF-132,CTC1
AAF-44,STN1
AAF132,CTC1
AAF44,STN1
AAG,MPG
AAG1,EIF4G2
AAG11,FHL2
AAG12,MPP1
AAG13,S100A16
AAG2,ST13
AAG3,SRSF7
AAG4,CLU
AAG6,PRKCA
AAH,ASPH
AAIR8193,APOOL
AAKAD,DHTKD1
AAKG,PRKAG2
AAKG2,PRKAG2
AAM-B,TMT1A
AAMB,TMT1A
AAMR,GMPPA
AANCR,LOC127891700
AAOPD,PARK10
AAP,SERPINF2
AAP-S,NPEPPS
AAP1,RYBP
AAPA3037,SUMF1
AARE,APEH
AARF,ADCK2
AARS,AARS1
AARSL,AARS2
AARSP1,AARS1P1
AAS,FGD1
AASD-PPT,AASDHPPT
AASL548,TMEM234
AAT,SERPINA1
AAT-1,CFAP91
AAT1,CFAP91
AAT1,GPT
AAT10,LOX
AAT11,FOXE3
AAT12,THSD4
AAT1alpha,CFAP91
AAT3,TGFBR2
AAT4,MYH11
AAT5,TGFBR1
AAT7,MYLK
AAT8,PRKG1
AAT9,MFAP5
AATK-AS1,PVALEF
AATYK,AATK
AATYK1,AATK
AATYK2,LMTK2
AATYK3,LMTK3
AAV,AAVS1
AAVG5835,MRPL55
AAVR,KIAA0319L
AAVRL,KIAA0319L
AAVS1,PPP1R12C
AB-DIP,QRICH1
AB014085.4,HCG19P
AB023048.2,HCG21
AB023051.1,HCG20
AB023060.6,POLR2LP1
AB073614,CP
AB13,NBPF1
AB14,NBPF1
AB14,NBPF15
AB23,NBPF1
AB6,NBPF10
ABAD,HSD17B10
ABBA,MTSS2
ABBA-1,MTSS2
ABBA1,MTSS2
ABBP-2,DNAJB11
ABBP1,HNRNPAB
ABBP2,DNAJB11
ABC,ABCB6
ABC-1,ABCA1
ABC-C,ABCA3
ABC1,ABCA1
ABC1,HEATR6
ABC10,ABCA4
ABC10-alpha,POLR2K
ABC13,ABCA5
ABC15,ABCG2
ABC16,ABCB11
ABC17,TAP1
ABC18,TAP2
ABC2,ABCA2
ABC20,ABCB1
ABC21,ABCB4
ABC27,ABCF1
ABC28,ABCF2
ABC29,ABCC1
ABC3,ABCA3
ABC30,ABCC2
ABC31,ABCC3
ABC33,ABCC5
ABC34,ABCC6
ABC35,CFTR
ABC36,ABCC8
ABC37,ABCC9
ABC38,ABCE1
ABC39,ABCD2
ABC41,ABCD4
ABC42,ABCD1
ABC43,ABCD3
ABC50,ABCF1
ABC7,ABCB7
ABC8,ABCG1
ABCA-SSN,ABCA7
ABCA11,ABCA11P
ABCA17,ABCA17P
ABCB10P,ABCB10P1
ABCB10P2,ABCB10P1
ABCB2,TAP1
ABCB3,TAP2
ABCB5alpha,ABCB5
ABCB5beta,ABCB5
ABCC,ABCC1
ABCC13P,ABCC13
ABCC7,CFTR
ABCD-1,CCL22
ABCD-2,CCL17
ABCD-3,CX3CL1
ABCDS,EDNRB
ABCF2-H2BE1,ABCF2-H2BK1
ABCP,ABCG2
ABCR,ABCA4
ABCX,ABCA7
ABD-B,HOXA9
ABDH19,PPME1
ABERS,TBX22
ABETA,APP
ABF-1,MSC
ABF1,MSC
ABG,A1BG
ABH,ALKBH1
ABH1,ALKBH1
ABH2,ALKBH2
ABH3,ALKBH3
ABH4,ABHD4
ABH4,ALKBH4
ABH5,ALKBH5
ABH6,ALKBH6
ABH7,ALKBH7
ABH8,ALKBH8
ABHD11-AS1,BICDL3P
ABHD12A,ABHD12
ABHD17AP2,ABHD17AP1
ABHD20,EPHX2
ABHD21,SPG21
ABHD7,EPHX4
ABHD9,EPHX3
ABHS,MPLKIP
ABI-1,ABI1
ABI-2,ABI2
ABI1P,ABI1P1
ABI2B,ABI2
ABIN-1,TNIP1
ABIN-2,TNIP2
ABIN-3,TNIP3
ABIN2,TNIP2
ABL,ABL1
ABL,DSP-AS1
ABL,MTTP
AblBP3,ABI2
ABLBP4,ABI1
ABLIM,ABLIM1
abLIM-1,ABLIM1
ABLL,ABL2
ABOLM,DSG3
ABP,AOC1
ABP,SHBG
ABP-278,FLNB
ABP-280,FLNA
ABP-280,FLNB
ABP-280,FLNC
ABP-KELCH,KLHL2
ABP/ZF,TRPV6
ABP1,AOC1
ABP1,DBNL
ABP125,SEC31A
ABP130,SEC31A
ABP280A,FLNC
ABP32,PEF1
ABP620,MACF1
ABPA,FLNC
Abpa1p,SCGB1B1P
Abpbg1p,SCGB2B1P
ABPL,FLNC
ABPP,APP
ABPX,FLNA
ABRA1,ABRAXAS1
ABRAXAS,ABRAXAS1
ABRI,ITM2B
ABRO1,ABRAXAS2
ABS,DDX41
ABTAP,ESF1
ABTB2A,ABTB2
ABTB2B,ABTB3
AC,ASAH1
AC-III,ADCY3
AC002066.1,CAV2-DT
AC002310.12,ZNF747-DT
AC002384.1,LINC02577
AC003090.1,LINC03007
AC004542.C22.1,MORC2
AC004704.1,LINC02945
AC004784.1,PSG11-AS1
AC004812.2,RAB35-AS1
AC004854.4,H2AZ2-DT
AC004943.2,ZFHX3-AS1
AC004997.C22.2,TBC1D10A
AC005154.1,GARS1-DT
AC005154.6,GARS1-DT
AC005165.1,LINC03007
AC005253.1,KXD1-AS1
AC005392.2,LINC03078
AC005592.2,SPRY4-AS1
AC005682.5,SNHG26
AC005884.1,BCAS3-AS1
AC006160.1,MED28-DT
AC006262.5,IGFL2-AS1
AC006369.1,CDC42EP3-AS1
AC007032.1,NAMPT-AS1
AC007092.1,LINC01122
AC007182.6,FLVCR2-AS1
AC007207.2,LINC03141
AC007255.8,PRR15-DT
AC007271.3,IL1R1-AS1
AC007365.1,LINC02579
AC007383.2,INO80D-AS1
AC007386.2,LINC02245
AC007389.3,LINC03050
AC007403.1,LINC01628
AC007405.2,GAD1-AS1
AC007613.1,TXNDC11-AS1
AC007731.1,FAM230G
AC007998.3,ZNF24TR
AC008079.1,FAM230D
AC008392.1,CARD8-AS1
AC008392.1,ZNF114-AS1
AC008560.1,SHLD3
AC008750.1,SIGLEC10-AS2
AC008957.1,SLC1A3-AS1
AC009133.12,MVP-DT
AC009227.1,GALNT13-AS1
AC009237.14,LINC03052
AC009292.1,SKOR1-AS1
AC009892.10,LILRB1-AS1
AC009975.1,MIR548BAHG
AC010331.1,BICRA-AS2
AC010457.1,EGFLAM-AS5
AC010789.1,LINC03046
AC010904.2,LINC02973
AC010980.1,RNF228
AC010999.2,LINC03065
AC011443.1,PAK4-AS1
AC011472.4,DOCK6-AS1
AC011511.2,LIMASI
AC011511.5,ICAM4-AS1
AC012044.5,FAM25EP
AC012213.3,LINC02933
AC012360.1,TGFBRAP1-AS1
AC012568.1,SMAD3-AS1
AC015660.1,LINC03080
AC016405.3,ZHX2-AS1
AC016727.1,USP34-DT
AC016735.2,LINC01819
AC016745.3,LINC02966
AC016747.2,C2orf74-AS1
AC016831.7,LINC00513
AC016876.1,MPDU1-AS1
AC017074.1,LINC02936
AC018445.6,LINC03101
AC021321.1,ARFGEF1-DT
AC022026.3,RPSAP6
AC022211.2,MIF4GD-DT
AC022389.4,LRIT2
AC022394.1,HMGN2P8
AC022424.2,ADAMTS16-AS1
AC02278.4,PPP1R3B-DT
AC022816.1,LROMI1
AC022915.1,LINC03054
AC023157.3,AMN1-AS1
AC023283.3,ENO4
AC023904.2,LINC01553
AC024896.1,TM7SF3-AS1
AC025048.4,HEATR6-DT
AC025154.2,AQP5-AS1
AC025254.1,LINC03130
AC026166.2-001,MTCO1P5
AC026369.3,IQSEC3-AS2
AC026412.3,LINC03067
AC026462.3,LINC03064
AC026904.1,LINC02599
AC027288.3,SYT1-AS1
AC036108.3,TTC23-AS1
AC048382.5,ZSCAN2-AS1
AC051619.4,SLC28A2-AS1
AC068228.1,FAM83A-AS2
AC068302.3,MELTF-AS1
AC069294.1,CYP3A4-AS1
AC072061.1,CDK13-DT
AC073284.4,LINC02862
AC073316.3,SDK1-AS1
AC073352.1,TIMMDC1-DT
